SL NO|bill|dcode|file|barcode|s.rate|c.rate|S|M|L|Xl|XXL|XXXL|Total Qty|Amount||Descrption||Fabric|Img file name|Product||
1|2|3627|2|786|1099|595||3|3|3|3||12|7140|13188|Red & Beige Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Viscose Rayon|2.jpeg|Kurti Set|3627|0
2|2|3626|1|787|1099|595||2|2|2|2||8|4760|8792|Orange & Pink Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Viscose Rayon|1.jpeg|Kurti Set|3626|0
3|2|3624|3|788|1099|595||1|1|1|1||4|2380|4396|Black & White Geometric Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Viscose Rayon|3.jpeg|Kurti Set|3624|0
4|1|3629|6|789|1099|595||1|1|1|1||4|2380|4396|Yellow & Red Geometric Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Viscose Rayon|6.jpeg|Kurti Set|3629|0
5|2|3628|5|790|999|495||1|1|1|1||4|1980|3996|Beige & Pink Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton|5.jpeg|Kurti Set|3628|0
6|2|19|4|791|1499|795||1|1|1|1||4|3180|5996|White Embroidered Kurti Set with Dupatta|Kurti + Pant + Dupatta (3 PCS)|Pure Cotton with Embro.Work + Lining|4.jpeg|Kurti Set|19|0
7|1|3150|8|792|1099|595||1|1|1|1||4|2380|4396|Blue & Yellow Striped Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Viscose Rayon|8.jpeg|Kurti Set|3150|0
9|1|1861|39|794|1149|650||1|1|1|1||4|2600|4596|Light Green Pleated Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Linen Flex Cotton|39.jpeg|Kurti Set|1861|0
10|1|1862|35|795|1149|650||1|1|1|1||4|2600|4596|Brown Pleated Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Linen Flex Cotton|35.jpeg|Kurti Set|1862|0
11|1|3000|12|796|999|495||1|1|1|1|1|5|2475|4995|White & Orange Ikat Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Cambric 60x60 Cotton Digital Print|12.jpeg|Kurti Set|3000|0
12|1|3283|10|797|999|495||1|1|1|1||4|1980|3996|Abstract Print Shirt Collar Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Slub Cotton|10.jpeg|Kurti Set|3283|0
13|1|2809|11|798|999|495||0|1|1|1|1|4|1980|3996|Black & Red Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton Silk|11.jpeg|Kurti Set|2809|0
14|1|3551|44|799|999|495||1|1|1|1||4|1980|3996|Pink Floral Embroidered Co-ord Set|Co-ord Set|Pure Cotton with Embro.Work|44.jpeg|Co-ord Set|3551|0
15|1|3553|43|800|999|495||1|1|1|1||4|1980|3996|Blue Floral Embroidered Co-ord Set|Co-ord Set|Pure Cotton with Embro.Work|43.jpeg|Co-ord Set|3553|0
16|1|3284|14|801|999|495||1|1|1|1|1|5|2475|4995|Maroon & White Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Mix Cotton|14.jpeg|Kurti Set|3284|0
18|1|2411|48|803|649|325||1|1|1|1||4|1300|2596|Yellow & White Floral Print Co-ord Set|Co-ord Set|Poly Rayon|48.jpeg|Co-ord Set|2411|0
20|1|1795|13|805|1149|650||0|1|1|1|1|4|2600|4596|Pink Embroidered Kurti Set|Straight Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embroidery Work|13.jpeg|Kurti Set|1795|0
21|1|2318|45|806|649|325||1|1|1|1||4|1300|2596|Maroon & White Floral Print Co-ord Set|Co-ord Set|Poly Cotton|45.jpeg|Co-ord Set|2318|0
22|1|3169|46|807|649|325||1|1|1|1||4|1300|2596|Aqua Blue & Blue Leaf Print Co-ord Set|Co-ord Set|Poly Rayon|46.jpeg|Co-ord Set|3169|0
23|1|3135|19|808|1499|750|||1|1|1|1|4|3000|5996|Purple Parrot Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton Slub with Embroidery Work|19.jpeg|Kurti Set|3135|0
24|1|3133|15|809|1499|750|||1|1|1|1|4|3000|5996|Teal Blue Parrot Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton Slub with Embroidery Work|15.jpeg|Kurti Set|3133|0
25|1|3132|16|810|1499|750|||1|1|1|1|4|3000|5996|Yellow Parrot Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton Slub with Embroidery Work|16.jpeg|Kurti Set|3132|0
26|1|3556|23|811|1399|695||1|1|1|1||4|2780|5596|Black & White Floral Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|23.jpeg|Kurti Set|3556|0
27|1|3555|25|812|1399|695||1|1|1|1||4|2780|5596|Olive Green Floral Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|25.jpeg|Kurti Set|3555|0
28|1|3554|24|813|1399|695||1|1|1|1||4|2780|5596|Teal Green Floral Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|24.jpeg|Kurti Set|3554|0
29|1|1900|27|814|1399|695||1|1|1|1||4|2780|5596|Off-White Floral Embroidered Co-ord Set|Co-ord Set|Linen Flex Cotton|27.jpeg|Kurti Set|1900|0
30|1|3557|26|815|1399|695||1|1|1|1||4|2780|5596|Pink Floral Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|26.jpeg|Co-ord Set|3557|0
31|1|3131|17|816|1499|750|||1|1|1|1|4|3000|5996|Green Parrot Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton Slub with Embroidery Work|17.jpeg|Kurti Set|3131|0
32|1|2428|18|817|1399|675|||1|1|1|1|4|2700|5596|Red Kurti Set with Embroidered Pockets|A-Line Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|18.jpeg|Kurti Set|2428|0
33|1|2427|20|818|1399|675|||1|1|1|1|4|2700|5596|Black Kurti Set with Embroidered Pockets|A-Line Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|20.jpeg|Kurti Set|2427|0
34|1|2425|21|819|1399|675|||1|1|1|1|4|2700|5596|Purple Kurti Set with Embroidered Pockets|A-Line Kurti + Plazzo (2 PCS)|Linen Flex Cotton with Embro.Work|21.jpeg|Kurti Set|2425|0
35|1|3433|22|820|1399|675|||1|1|1|1|4|2700|5596|Yellow Kurti Set with Embroidered Pockets|A-Line Kurti + Plazzo (2 PCS)|Pure Cambric Cotton with Pocket Embro. Work|22.jpeg|Kurti Set|3433|0
36|1|3631|28|821|1299|650||1|1|1|1||4|2600|5196|Yellow Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure 60x60 Cambric Cotton with Embro.Work|28.jpeg|Kurti Set|3631|0
37|1|3630|29|822|1299|650||1|1|1|1||4|2600|5196|Blue Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton with Embroidery Work|29.jpeg|Kurti Set|3630|0
38|1|3632|33|823|1299|650||1|1|1|1||4|2600|5196|Mauve Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Cotton with Embroidery Work|33.jpeg|Kurti Set|3632|0
39|1|2893|30|824|1299|650|||1|1|1|1|4|2600|5196|Lavender Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Pure Viscose Rayon with Embro. Work|30.jpeg|Kurti Set|2893|0
40|1|3278|34|825|1299|650|||1|1|1|1|4|2600|5196|Navy Blue Embroidered Kurti Set|Kurti + Pant (2 PCS)|Rayon Jaquard +Lining & Embro. Work|34.jpeg|Kurti Set|3278|0
41|1|3277|36|826|1299|595|||1|1|1|1|4|2380|5196|Teal Embroidered Kurti Set|Kurti + Pant (2 PCS)|Rayon Jaquard +Lining & Embro. Work|36.jpeg|Kurti Set|3277|0
42|1|3356|32|827|1299|595|||1|1|1|1|4|2380|5196|Green Embroidered Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Cambric Cotton with Work|32.jpeg|Kurti Set|3356|0
43|1|2334|31|828|1299|595|||1|1|1|1|4|2380|5196|Grey Embroidered Kurti Set|Kurti + Plazzo (2 PCS)|Pure Cambric Cotton with Work|31.jpeg|Kurti Set|2334|0
44|1|14628|40|829|999|495|1|1|1|1|||3|1485|2997|Pink & Yellow Geometric Print Kurti Set|Kurti + Pant (2 PCS)|Pure Bamboo Silk|40.jpeg|Kurti Set|14628|0
45|1|14625|41|830|999|495|1|1|1|1|1||4|1980|3996|Peach Geometric Print Kurti Set|Kurti + Pant (2 PCS)|Pure Bamboo Silk|41.jpeg|Co-ord Set|14625|0
46|1|3625|7|831|1299|595||1|1|1|1||4|2380|5196|Green & Yellow Floral Print Kurti Set|A-Line Kurti + Plazzo (2 PCS)|Pure Viscose Rayon|7.jpeg|Kurti Set|3625|0
48|1|2317|47|833|649|325||1|1|1|1|1|5|1625|3245|Black & White Floral Print Co-ord Set|Co-ord Set|Poly Cotton|47.jpeg|Co-ord Set|2317|0
49|1|557|38|834|799|395||1|1|1|1||4|1580|3196|Aqua Green Embroidered Kurti Set|Kurti + Pant (2 PCS)|Jaquard Silk with Embro.Work|38.jpeg|Kurti Set|557|0
50|1|16762|37|835|649|325||1|1|1|1||4|1300|2596|Beige Striped Kurti Set|Kurti + Pant (2 PCS)|Weaving Cotton|37.jpeg|Kurti Set|16762|0
51|1|3675|9|836|299|160||1|1|1|1||4|640|1196|Light Green Jaquard Straight Kurti|Straight Kurti Only|Cotton Jaquard|9.jpeg|Kurti Set|3675|0
